"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-01",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-02",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-03",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-04",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-05",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-06",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-07",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-08",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-09",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-10",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-11",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-12",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-13",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-14",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-15",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-16",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-17",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-18",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-19",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-20",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-21",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-22",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-23",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-24",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-25",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-26",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-27",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-28",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-29",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-30",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-05-31",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-01",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-02",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-03",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-04",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-05",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-06",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-07",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-08",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-09",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-10",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-11",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-12",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-13",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-14",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-15",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-16",,,
"US1VAJC0040","WILLIAMSBURG 1.9 SW, VA US","37.248526","-76.727066","22.9","2019-06-17",,,
